personLabel,placeLabel,countryLabel,organisationLabel,orgnPlaceLabel,orgnCountryLabel,univLabel,founded
Göran Liljestrand,Masthuggs församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Svante Linusson,Göteborg,Sverige,Linköpings universitet,Linköpings kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Anders Söderholm,Morjärv,Sverige,Mittuniversitetet,Västernorrlands län,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Kerstin Nordenstam,Annedals församling,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Bo Södersten,Grängesberg,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Torbjörn Westermark,Sollefteå,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Svante Norrhem,Ludvika,Sverige,Lunds universitet,Lunds kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Fredrik Areschoug,Simrishamn,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Edvard Magnus Rodhe,Lunds domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Nils Zeilon,Arboga,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Gunnar Törnqvist,Ljungby,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Håkan Sterky,Hedvig Eleonora församling,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
